Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Result
1,12,0,75,Yes,Master,Pass
2,9,95,61,No,High School,Fail
3,13,0,64,No,Associate,Fail
4,18,77,62,Yes,Bachelor,Fail
5,9,89,73,No,Master,Fail
6,9,74,69,Yes,High School,Pass
7,18,39,94,No,Doctorate,Pass
8,14,96,59,Yes,Doctorate,Fail
9,8,100,92,No,Bachelor,Pass
10,13,38,38,Yes,High School,
11,8,54,72,No,Master,Fail
12,8,116,41,Yes,Master,Fail
13,11,80,50,Yes,Bachelor,
14,0,75,50,,,Pass
15,1,66,49,No,Associate,Pass
16,7,54,56,Yes,High School,Fail
17,5,71,98,Yes,High School,Fail
18,12,94,52,No,Bachelor,Pass
19,6,75,41,No,Doctorate,Fail
20,3,87,72,No,Associate,Pass
21,17,110,69,No,Bachelor,Pass
22,9,63,98,No,Doctorate,Fail
23,10,81,64,No,High School,Fail
24,3,95,31,No,Bachelor,Pass
25,7,56,59,Yes,High School,Pass
26,11,0,58,No,Doctorate,Pass
27,4,112,46,,High School,Pass
28,12,68,57,Yes,High School,Fail
29,7,96,63,Yes,Associate,Fail
30,8,72,64,No,Doctorate,Pass
31,7,111,44,No,Doctorate,Pass
32,19,42,74,Yes,Associate,Pass
33,10,76,90,No,Associate,Fail
34,5,45,69,No,Doctorate,Pass
35,14,61,82,No,High School,Pass
36,4,61,68,Yes,Master,Fail
37,11,70,49,Yes,Master,Pass
38,0,51,69,No,Master,Pass
39,3,74,58,Yes,Master,Pass
40,11,84,48,No,Master,Pass
41,0,44,64,Yes,Master,Pass
42,11,62,77,Yes,Bachelor,Pass
43,9,126,60,Yes,Associate,Fail
44,8,82,94,Yes,,Fail
45,3,39,79,No,Doctorate,Pass
46,6,47,57,No,High School,Fail
47,8,80,56,No,Doctorate,Fail
48,15,77,97,Yes,High School,Pass
49,12,63,60,,Associate,Fail
50,1,119,70,No,Master,Pass
51,12,127,71,Yes,High School,Pass
52,8,70,39,No,Doctorate,Fail
53,7,92,39,Yes,Doctorate,Pass
54,13,94,0,No,,Pass
55,15,96,49,Yes,,
56,15,62,65,No,Bachelor,Pass
57,6,114,42,Yes,Doctorate,Pass
58,8,74,60,Yes,,Fail
59,12,83,68,No,Master,Pass
60,15,75,34,No,High School,Fail
61,8,72,66,No,High School,Pass
62,9,81,67,No,Bachelor,Fail
63,4,51,58,Yes,Associate,Pass
64,4,36,48,Yes,Associate,Pass
65,14,71,59,Yes,High School,Fail
66,17,57,59,No,High School,Pass
67,10,86,94,No,Associate,Fail
68,15,84,63,Yes,,Pass
69,12,75,58,No,Doctorate,Fail
70,7,105,63,No,Associate,Fail
71,12,75,71,,Master,Pass
72,18,46,71,Yes,Bachelor,Pass
73,10,70,72,Yes,Master,Fail
74,18,98,74,No,Doctorate,Pass
75,-3,37,43,No,Master,Pass
76,14,73,73,No,Doctorate,Pass
77,10,86,68,No,Doctorate,Pass
78,8,128,56,Yes,Bachelor,Pass
79,10,99,67,No,High School,Pass
80,0,78,63,No,Associate,Pass
81,9,85,65,No,Doctorate,Pass
82,12,37,68,No,Master,Pass
83,17,0,40,No,Master,Fail
84,7,0,69,No,Bachelor,
85,6,78,75,No,Bachelor,Pass
86,8,81,69,No,Doctorate,Pass
87,15,76,54,Yes,Master,Fail
88,12,75,52,Yes,Master,Fail
89,7,77,68,Yes,Bachelor,Pass
90,13,54,77,No,Doctorate,Fail
91,10,70,85,Yes,,Fail
92,15,0,76,Yes,High School,Pass
93,6,63,73,Yes,High School,Pass
94,8,99,27,No,Doctorate,Pass
95,8,71,0,No,Doctorate,Fail
96,3,87,0,No,Associate,Fail
97,12,77,55,No,Associate,Pass
98,11,67,200,Yes,Master,Pass
99,10,55,49,Yes,Associate,Pass
100,9,67,92,No,Associate,Fail
101,3,79,46,No,Master,
102,8,87,62,No,High School,Fail
